Customer_ID,Customer_Name,Address,Age,Phone,email,Education,Job,Monthly_Income,No_of_Property
15634000,Jeffrey Harris,"8037 Michael Parkway Suite 921
Angelamouth, IN 46365",40,165-335-8215,apratt@example.net,Engineer,IT,461039,3
15634001,Carlos Foley,"Unit 2509 Box 0659
DPO AP 85517",59,(388)079-4380x1633,whiteduane@example.org,Doctor,Bank Employee,51060,1
15634002,Danny Hanson,"74974 Mcbride Groves Apt. 341
Mcguireshire, NY 54941",20,+1-948-500-1808x953,josephwright@example.org,illiterate,Buisnessman,384578,5
15634003,Angela Davis,"422 Tucker Pike
Wattshaven, TN 72753",41,527-128-8639,emichael@example.net,Doctor,IT,497872,10
15634004,Stacey Rivas,"7693 Lambert Centers Apt. 796
Jonestown, SD 43121",37,(320)211-3259,dennissmith@example.com,Other,Engineer,273016,3
15634005,Nicole Schultz,"406 Oconnor Falls
North Jason, AL 32917",46,590.592.5146,maxwellbrian@example.org,Other,IT,452115,8
15634006,Mallory Parker,"763 Tracy Hills Suite 948
East Traceyfurt, MI 33769",45,223-442-7695x94079,ricescott@example.org,Doctor,Buisnessman,393224,8
15634007,Thomas Smith,"046 Anthony Common
South Shanemouth, MO 51523",39,281-978-7532x926,qmitchell@example.org,IT,Doctor,157851,4
15634008,Nicholas Edwards,"60991 Guerra Shore
Christineside, MD 92697",46,(365)472-2004,barrettbenjamin@example.org,illiterate,Buisnessman,246782,2
15634009,Sharon Anderson,"USNS Berry
FPO AE 04626",52,-10318,longderrick@example.com,Other,Other,377429,6
15634010,Kimberly Marshall,"65834 Nathaniel Summit Apt. 895
West Jacquelineside, WV 05825",48,+1-612-927-9911x0303,taylordaniel@example.net,IT,IT,213361,3
15634011,Laura Peck,"27819 Deanna Dam
New Samuelfurt, KS 83009",34,(475)736-0579x8436,ibarrera@example.org,Universitydegree,Engineer,414260,5
15634012,Larry Elliott,"PSC 8180, Box 8930
APO AA 29012",40,(465)515-7068,kennethmoore@example.com,illiterate,Other,173668,6
15634013,Carol Gray,"41635 Brooks Viaduct
South Carolinefort, ND 70936",30,-4924,adambrown@example.com,Doctor,Engineer,434050,1
15634014,Alicia Perkins,"7992 Catherine Harbor
Christinafurt, IL 32262",38,196-541-3390x1662,robertsmelissa@example.org,Other,Bank Manager,205396,2
15634015,Jacqueline Chung,"0949 Morales Crossroad
South Daniel, CT 21819",41,001-592-356-2255x46759,joan74@example.org,High School,IT,278838,2
15634016,Jason Edwards,"424 Holland Light
Morganview, WI 48994",23,241.227.8729,robert30@example.com,Doctor,Bank Manager,65798,1
15634017,David Carpenter,"USNS Morgan
FPO AA 98994",56,+1-830-112-9226x85642,marshalldawn@example.net,IT,Bank Employee,145901,2
15634018,Natasha Haas,"PSC 1055, Box 9223
APO AE 22663",59,+1-931-793-6931x3165,nmercado@example.org,Other,Bank Manager,449855,4
15634019,Lucas Brown,"0288 Collins Court Suite 512
New James, IA 35307",56,047-480-9905x1813,murphybrian@example.org,High School,IT,284998,0
15634020,Jamie Blair,"010 Hale Crest Apt. 889
Rushmouth, RI 34985",59,(031)836-7816x925,craig01@example.com,Universitydegree,Other,426546,2
15634021,Devin Simon,"944 Stephanie Ferry
Jamesside, GA 35334",39,553.178.3576x5574,lindsey64@example.net,Engineer,Engineer,265771,5
15634022,Mr. Paul Brooks,"82788 Scott Manor Suite 700
Gonzalezton, IN 69445",58,(476)436-3902,sarahmiller@example.net,High School,Engineer,158625,5
15634023,Maria Robertson,"5248 Ward Skyway Apt. 469
Franklinside, NY 40485",21,728-339-4256,brenda26@example.org,Doctor,IT,169127,3
15634024,Robert Payne,"2810 Mathis Manors Suite 170
Sandraborough, CT 60644",48,(740)613-4139x797,christopherjames@example.com,Doctor,Engineer,194134,4
